2.3976,1.4985,37.5
7.1793,4.4871,37.5
11.945,7.4658,37.5
16.698,10.436,37.5
21.442,13.401,37.5
26.177,16.361,37.5
30.909,19.318,37.5
35.639,22.274,37.5
40.371,25.232,37.5
45.106,28.191,37.5
49.849,31.156,37.5
54.602,34.126,37.5
59.367,37.104,37.5
64.148,40.093,37.5
68.949,43.093,37.5
73.771,46.107,37.5
78.618,49.136,37.5
83.493,52.183,37.5
88.399,55.249,37.5
93.339,58.337,37.5
98.318,61.449,37.5
103.34,64.586,37.5
108.4,67.751,37.5
113.51,70.946,37.5
118.68,74.173,37.5
123.9,77.435,37.5
129.18,80.734,37.5
134.52,84.073,37.5
139.93,87.454,37.5
145.41,90.879,37.5
150.96,94.351,37.5
156.6,97.874,37.5
162.32,101.45,37.5
168.13,105.08,37.5
174.04,108.77,37.5
180.04,112.53,37.5
186.15,116.35,37.5
192.37,120.23,37.5
198.71,124.19,37.5
205.17,128.23,37.5
